iter	Logloss
0	0.6681793066
1	0.6503781328
2	0.6342392258
3	0.6201987548
4	0.6081658512
5	0.5974801688
6	0.5897489755
7	0.5817625434
8	0.576382912
9	0.5707562569
10	0.5655611334
11	0.5611188718
12	0.558460698
13	0.5542551188
14	0.5503324985
15	0.5478547967
16	0.5452422075
17	0.5434034319
18	0.5417940094
19	0.5393823954
20	0.5377206606
21	0.5358606365
22	0.534515002
23	0.5328072419
24	0.5316036013
25	0.5305467093
26	0.5296743505
27	0.5287006522
28	0.5278130874
29	0.5269346965
30	0.5256159067
31	0.5246454297
32	0.5238060042
33	0.5232185392
34	0.5222804963
35	0.5215670477
36	0.5210655936
37	0.520557248
38	0.519978627
39	0.5193930693
40	0.5192654387
41	0.5186373888
42	0.5180369878
43	0.5175467583
44	0.5171084893
45	0.5167080351
46	0.5163353572
47	0.5160564877
48	0.5154682778
