iter	Passed	Remaining
0	170	85275
1	273	68130
2	379	62800
3	485	60225
4	595	58916
5	700	57653
6	804	56627
7	897	55200
8	997	54430
9	1116	54700
10	1211	53855
11	1323	53824
12	1426	53437
13	1530	53125
14	1636	52925
15	1732	52402
16	1827	51913
17	1919	51406
18	2032	51465
19	2130	51139
20	2229	50855
21	2325	50524
22	2427	50342
23	2519	49969
24	2611	49627
25	2702	49276
26	2797	49010
27	2909	49053
28	3011	48905
29	3120	48890
30	3227	48823
31	3324	48619
32	3423	48446
33	3526	48333
34	3626	48178
35	3726	48035
36	3822	47828
37	3918	47636
38	4016	47482
39	4117	47354
40	4167	46657
41	4270	46569
42	4376	46516
43	4473	46362
44	4573	46242
45	4680	46195
46	4785	46127
47	4883	45987
48	4991	45939
